Artname,Abflugszeitraum,Ankunftszeitraum ,zieht nach,Brutvogel,Durchz체gler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher,avg_comf_temp_low,avg_comf_temp_high,Season
Haus-rotschwarz,September,M둹z,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Ringdrossel,September,M둹z,Nordafrika,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,28,Fr웘ling - Sommer
Zipzalp,September,M둹z,"West- S체deuropa,  Nord- afrika,  s체dlich der Sahara",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5,28,Fr웘ling - Sommer
Kiebitz-regenpfeifer,September,"September , M둹z",K체sten Europas und Afrikas,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Rotmilan,September,Februar,Spanien,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Turmfalke,September,M둹z,S체d- und Westeuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Kiebitz,September,Februar,S체dwesteuropa und Nordafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Singdrossel,September,"September, Februar",West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Felsenschwalbe,September,M둹z,Mittelmeerraum,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,28,Fr웘ling - Sommer
Feldschwirl,September,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5,28,Fr웘ling - Sommer
Sperber,September,M둹z,"Nordafrika,  Mittel- und Westeuropa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Buchfink,October,Februar,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Ringeltaube,Oktober,Februar,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Zitronengilz,Oktober,M둹z,S체deuropa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,8,28,Fr웘ling - Herbst
Star,Oktober,Februar,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,28,Fr웘ling - Herbst
M둼sebussard,Oktober,M둹z,West- und S체deuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,28,Fr웘ling - Herbst
